mean,mean,std,std,ref,ref,3,4,5,6,7,8,9,10,11,12,13,14,15,mc_avg,mc_std,mc_err,measured
1.338101324379426416e+00,5.156912258256354242e+00,2.415136155269682838e+00,1.867495920166660106e+00,3.500000000000000000e+00,5.500000000000000000e+00,9.228366022951904890e-01,8.194296075326154005e-01,1.026161687887477303e+00,9.908797839063775426e-01,1.108633398586871710e+00,1.057486893396820893e+00,1.079017415990558337e+00,1.075184262827256543e+00,1.060640703458510137e+00,1.078854080888079769e+00,1.050202603933352519e+00,1.081216128697643164e+00,1.050265088202494201e+00,1.063782892371810229e+00,3.303199100830631174e+00,3.303199100830631063e-02,4.622511149999999902e-01
1.769952506638007961e+00,-2.006523375719190261e-01,2.987122267012633614e+00,4.852858519342572841e+00,3.500000000000000000e+00,5.500000000000000000e+00,5.185013926764028724e+00,8.071709134313802991e+00,7.555720825281038167e+00,8.343680529457223827e+00,8.226485366061409010e+00,8.449755075655929204e+00,8.239229485206088555e+00,8.472377604565007658e+00,8.259359255018827284e+00,8.483656687166032384e+00,8.277238413878274415e+00,8.478631604140220546e+00,8.287016234130206271e+00,8.380065080361848828e+00,1.626089760734022960e+01,1.626089760734023004e-01,7.495781484000000106e+00
-2.276137370940696791e-01,4.140154995032011342e+00,2.441889871778421650e+00,4.171912914503671743e+00,3.500000000000000000e+00,5.500000000000000000e+00,1.046957244974544787e+00,9.123771026848451760e-01,1.438158391603143738e+00,1.050477366203760088e+00,1.417535865527763894e+00,1.143961579439423115e+00,1.311432463632638434e+00,1.197113934081253106e+00,1.272221776131836402e+00,1.227871979739999286e+00,1.264699702337522602e+00,1.245057700242253595e+00,1.271203157302974951e+00,1.220298562614744009e+00,2.946976573831506574e+00,2.946976573831506727e-02,4.265089753999999900e+00
5.782387108979869517e-01,-5.637501925251853230e-02,1.496730991556603385e+00,8.824589810516402233e-01,3.500000000000000000e+00,5.500000000000000000e+00,4.142248331457801136e+00,5.839433110611360611e+00,5.396723039657463694e+00,5.800009308566241195e+00,5.778923534917200122e+00,5.786506826128769987e+00,5.806156465976448189e+00,5.770472171067970280e+00,5.813603772964832217e+00,5.763846827762891145e+00,5.813582982183306491e+00,5.762234552711332114e+00,5.810212888082054938e+00,5.765361564391042748e+00,7.842382658045262467e+00,7.842382658045261856e-02,4.729502474000000234e+00
2.174474294028187593e+00,2.879110192284228820e-01,3.678870700695449525e+00,5.800669003485252162e+00,3.500000000000000000e+00,5.500000000000000000e+00,4.735911163215041242e+00,8.465151642900988094e+00,7.665767225390384354e+00,8.355645896575609299e+00,8.535293668772940379e+00,8.336523284119657262e+00,8.568334627206404264e+00,8.386549860476549156e+00,8.555005618514917032e+00,8.427035459396631012e+00,8.528644259375193215e+00,8.466275674593953582e+00,8.516465340716877108e+00,8.775826502986200595e+00,1.961147525257865709e+01,1.961147525257865842e-01,7.901709355000000379e+00
3.607152318656448031e-01,-2.080446262425262871e-01,6.058034745211524630e-01,5.222856573965914961e+00,3.500000000000000000e+00,5.500000000000000000e+00,6.617348793605664525e+00,9.990507662763871366e+00,8.767142458263409210e+00,9.920203075015450622e+00,9.437712326647377026e+00,9.879057044076608562e+00,9.529125902756495847e+00,9.836946041086861214e+00,9.578565576181016894e+00,9.814215291492210724e+00,9.607986844342804034e+00,9.802367795130358274e+00,9.626210904335813723e+00,9.718943842655864529e+00,1.302238076657510035e+01,1.302238076657510069e-01,8.849473108999999837e+00
2.312678537695578740e+00,1.142026399534508796e+00,1.993449682710882964e+00,2.937143385982754928e+00,3.500000000000000000e+00,5.500000000000000000e+00,2.595504022896050422e+00,3.402574801519189229e+00,3.401166983436587188e+00,3.545759464816233386e+00,3.771541100137088431e+00,3.597303298025385399e+00,3.759205450706355478e+00,3.615720473744532981e+00,3.742262444082488315e+00,3.635907293544689445e+00,3.724739480773619160e+00,3.648634463106038339e+00,3.715930667104133889e+00,3.747590971989461117e+00,8.750056268895539446e+00,8.750056268895539668e-02,1.937634100999999998e+00
1.029397514515423051e+00,1.443179447440090524e-01,1.679812662568729964e+00,9.316379373924672525e-01,3.500000000000000000e+00,5.500000000000000000e+00,2.976735226167875226e+00,4.390033850674591953e+00,4.068658909489148101e+00,4.382323997371613267e+00,4.404916616694974252e+00,4.381833540608580435e+00,4.421649435262136940e+00,4.385532467272074797e+00,4.422288140951724955e+00,4.385104362838669445e+00,4.417828196761074189e+00,4.388667366197990027e+00,4.413598293387218874e+00,4.336841055392773647e+00,6.845469158381651376e+00,6.845469158381650709e-02,3.506257836000000072e+00
1.338904845615466188e+00,3.967872945122931760e+00,1.670936403407221826e+00,3.203410273265259622e+00,3.500000000000000000e+00,5.500000000000000000e+00,1.845916891602542353e+00,1.994302931022635450e+00,2.075755110627699906e+00,2.225076827951910197e+00,2.265270441351774799e+00,2.295758235504765654e+00,2.265690396065786594e+00,2.295882447834636686e+00,2.288182736852442112e+00,2.277887332350846616e+00,2.303009163581725360e+00,2.273420500813054801e+00,2.306572739538714778e+00,2.226094913273170661e+00,6.178432527549446718e+00,6.178432527549446857e-02,1.063636693999999938e+00
9.690529487692243205e-01,2.379385354101647643e+00,3.864081579529047072e+00,4.977782281475197301e+00,3.500000000000000000e+00,5.500000000000000000e+00,2.940426993358461250e+00,3.439344413672008827e+00,3.160536917072356733e+00,3.593868051451944101e+00,3.350193462856189353e+00,3.579370598904130230e+00,3.336786485697669669e+00,3.523170674945967917e+00,3.374323024465962995e+00,3.471015535282605757e+00,3.420873849589203264e+00,3.451408731515777095e+00,3.460463183822084954e+00,3.640192461981927696e+00,8.728934845527771103e+00,8.728934845527770714e-02,7.185507150000000287e+00
